t,Y_t,Y_(t-1),X_t
1,30.2,,5.6374097
2,28.2,30.2,4.618169
3,26.6,28.2,3.520902
4,25,26.6,2.2259188
5,26,25,1.9794711
6,26,26,1.7926769
7,26,26,1.7522373
8,24,26,1.8584585
9,23,24,2.2080758
10,24,23,2.4766808
11,25,24,2.585729
12,26,25,2.390081
13,27,26,2.0860224
14,29,27,1.9370468
15,29,29,1.8353107
16,29,29,1.7251893
17,29,29,1.6406621
18,28,29,1.6333728
19,27,28,1.6368104
20,27,27,1.6662308
21,27,27,1.6905783
22,27,27,1.7058017
23,27,27,1.7327535
24,27,27,1.7653873
25,27,27,1.8273274
26,28,27,1.8884155
27,29,28,1.8928599
28,31,29,1.8595637
29,31,31,1.8291963
30,32,31,1.7879448
31,32,32,1.7960476
32,31,32,1.8106897
33,31,31,1.8260555
34,30,31,1.8226182
35,30,30,1.8193358
36,29,30,1.8314195
37,27,29,1.9296236
38,26,27,2.0495067
39,25,26,2.1528714
40,25,25,2.219349
41,24,25,2.24805
42,24,24,2.276788
43,25,24,2.334924
44,25,25,2.3650203
45,25,25,2.366476
46,26,25,2.3696811
47,26,26,2.3395455
48,27,26,2.3315036
49,27,27,2.324217
50,27,27,2.3202748
51,27,27,2.2838447
52,28,27,2.195546
53,28,28,2.0661488
54,27,28,2.0591707
55,27,27,2.072363
56,26,27,2.1024218
57,25,26,2.2300205
58,23,25,2.501037
59,22,23,2.7506132
60,21,22,2.984422
61,20,21,3.06595
62,19,20,3.1185627
63,19,19,3.090378
64,20,19,2.9763355
65,21,20,2.8468864
66,21,21,2.771884
67,21,21,2.7308512
68,22,21,2.720472
69,24,22,2.7131088
70,26,24,2.7430437
71,27,26,2.7800217
72,28,27,2.7458754
